"from","to","lty","value","threshold_result"
"RCVRN","RHO",2,-0.957,"-1"
"RCVRN","VIM",2,-0.8948,"-1"
"RCVRN","RTN4",2,-0.9122,"-1"
"GNGT1","SAG",2,-0.5554,"-1"
"GNGT1","AIPL1",2,-0.641,"-1"
"GNGT1","GNAT1",2,-0.857,"-1"
"GNGT1","RGR",2,-0.703,"-1"
"GNGT1","H3F3B",2,-0.7966,"-1"
"WIF1","RTN4",2,-0.6668,"-1"
"WIF1","GLUL",2,-0.9352,"-1"
"WIF1","CLU",2,-0.9354,"-1"
"WIF1","TF",2,-0.9212,"-1"
"NRL","GNAT1",2,-0.8744,"-1"
"NRL","HSP90AA1",2,-0.9068,"-1"
"NRL","PTMA",2,-0.517,"-1"
"IGFBP5","HSP90AA1",2,-0.5946,"-1"
"IGFBP5","RGR",2,-0.7558,"-1"
"IGFBP5","TF",2,-0.9702,"-1"
"RHO","SAG",2,-0.9888,"-1"
"ROM1","HSP90AA1",2,-0.6126,"-1"
"ROM1","CRABP1",2,-0.6386,"-1"
"ROM1","FTH1",2,-0.8406,"-1"
"CALM1","HSP90AA1",2,-0.7222,"-1"
"CALM1","CRABP1",2,-0.5496,"-1"
"CALM1","GAPDH",2,-0.9438,"-1"
"SAG","RTN4",2,-0.5292,"-1"
"AIPL1","CLU",2,-0.9262,"-1"
"HSP90AA1","CRABP1",2,-0.9084,"-1"
"HSP90AA1","JUN",2,-0.957,"-1"
"PTMA","GAPDH",2,-0.5612,"-1"
"CRABP1","VIM",2,-0.9466,"-1"
"CRABP1","GLUL",2,-0.9164,"-1"
"CRABP1","CLU",2,-0.9462,"-1"
"CRABP1","FTH1",2,-0.9124,"-1"
"VIM","FRZB",2,-0.9122,"-1"
"VIM","GLUL",2,-0.8772,"-1"
"VIM","CLU",2,-0.9098,"-1"
"RGR","GLUL",2,-0.9146,"-1"
"RGR","TF",2,-0.9264,"-1"
"RTN4","HSPA1A",2,-0.6214,"-1"
"RTN4","H3F3B",2,-0.7968,"-1"
"RTN4","GLUL",2,-0.5368,"-1"
"RTN4","GAPDH",2,-0.8478,"-1"
"RTN4","TF",2,-0.8944,"-1"
"FRZB","GLUL",2,-0.9458,"-1"
"FRZB","TF",2,-0.8978,"-1"
"HSPA1A","JUN",2,-0.9306,"-1"
"HSPA1A","FTH1",2,-0.5574,"-1"
"H3F3B","GLUL",2,-0.8658,"-1"
"H3F3B","JUN",2,-0.615,"-1"
"H3F3B","FTH1",2,-0.8298,"-1"
"GLUL","CLU",2,-0.9,"-1"
"CLU","TF",2,-0.9116,"-1"
"JUN","FTH1",2,-0.9512,"-1"
