"from","to","lty","value","threshold_result"
"RCVRN","PDE6G",2,-0.946,"-1"
"RCVRN","NRL",1,0.6678,"1"
"RCVRN","RHO",1,0.9562,"1"
"RCVRN","ROM1",2,-0.6362,"-1"
"RCVRN","CALM1",1,0.545,"1"
"RCVRN","AIPL1",2,-0.5688,"-1"
"RCVRN","FTH1",2,-0.9392,"-1"
"GNGT1","ROM1",2,-0.9716,"-1"
"GNGT1","GNAT1",2,-0.5584,"-1"
"WIF1","IGFBP5",1,0.9922,"1"
"WIF1","CALM1",1,0.5046,"1"
"WIF1","RTN4",1,0.734,"1"
"WIF1","FRZB",1,0.6596,"1"
"WIF1","CLU",1,0.5682,"1"
"WIF1","TF",2,-0.9832,"-1"
"WIF1","FTH1",1,0.9808,"1"
"PDE6G","ROM1",1,0.7646,"1"
"PDE6G","CLU",1,0.6142,"1"
"NRL","AIPL1",2,-0.77,"-1"
"NRL","HSP90AA1",2,-0.9368,"-1"
"NRL","FTH1",2,-0.9682,"-1"
"IGFBP5","ROM1",1,0.6138,"1"
"IGFBP5","CALM1",1,0.9866,"1"
"IGFBP5","RTN4",1,0.975,"1"
"IGFBP5","FRZB",1,0.5674,"1"
"IGFBP5","JUN",2,-0.6828,"-1"
"IGFBP5","TF",2,-0.9744,"-1"
"IGFBP5","FTH1",1,0.9284,"1"
"RHO","ROM1",2,-0.667,"-1"
"RHO","HSP90AA1",2,-0.7528,"-1"
"RHO","HSPA1A",1,0.8176,"1"
"RHO","GLUL",1,0.7018,"1"
"ROM1","CALM1",1,0.5248,"1"
"ROM1","AIPL1",1,0.9772,"1"
"ROM1","GNAT1",1,0.815,"1"
"ROM1","VIM",2,-0.8516,"-1"
"CALM1","SAG",2,-0.557,"-1"
"CALM1","PTMA",1,0.915,"1"
"CALM1","CRABP1",1,0.8306,"1"
"CALM1","GAPDH",2,-0.8738,"-1"
"SAG","HSP90AA1",1,0.9294,"1"
"AIPL1","VIM",1,0.92,"1"
"AIPL1","CLU",2,-0.6784,"-1"
"AIPL1","GAPDH",1,0.7434,"1"
"AIPL1","FTH1",2,-0.5092,"-1"
"GNAT1","HSP90AA1",2,-0.5074,"-1"
"HSP90AA1","PTMA",2,-0.9576,"-1"
"HSP90AA1","VIM",2,-0.5636,"-1"
"HSP90AA1","GAPDH",1,0.9922,"1"
"HSP90AA1","TF",1,0.544,"1"
"PTMA","CRABP1",1,0.891,"1"
"PTMA","VIM",1,0.6248,"1"
"PTMA","RGR",1,0.8078,"1"
"PTMA","RTN4",2,-0.6834,"-1"
"PTMA","JUN",1,0.8536,"1"
"PTMA","TF",1,0.9856,"1"
"PTMA","FTH1",2,-0.6712,"-1"
"CRABP1","FRZB",2,-0.505,"-1"
"CRABP1","GLUL",2,-0.7148,"-1"
"CRABP1","GAPDH",1,0.9726,"1"
"VIM","RTN4",1,0.8284,"1"
"VIM","FTH1",1,0.852,"1"
"RGR","FRZB",1,0.9078,"1"
"RGR","FTH1",1,0.9738,"1"
"RTN4","HSPA1A",2,-0.8342,"-1"
"RTN4","GLUL",1,0.7226,"1"
"RTN4","CLU",2,-0.8858,"-1"
"RTN4","JUN",1,0.9872,"1"
"RTN4","GAPDH",2,-0.9838,"-1"
"FRZB","GLUL",1,0.966,"1"
"FRZB","JUN",2,-0.5396,"-1"
"H3F3B","GLUL",1,0.8396,"1"
"H3F3B","GAPDH",2,-0.896,"-1"
"GLUL","JUN",2,-0.8958,"-1"
"GLUL","GAPDH",1,0.7378,"1"
"GLUL","FTH1",1,0.9538,"1"
"JUN","TF",1,0.9128,"1"
"TF","FTH1",2,-0.887,"-1"
